Time America/New_York UTC-04:00,Level (Stage) (ft),Flow Rate (ft3/s),Total Rain (in),Level (Stage) (ft),Discharge Volume (ft3),Flow Rate (ft3/s),Total Rain (in)
1/1/2020 22:00,2.58,0,30.33,2.61,309943,0,1795.51
1/1/2020 22:15,2.58,0,30.33,2.61,309943,0,1795.51
1/1/2020 22:30,2.58,0,30.33,2.61,309943,0,1795.51
1/1/2020 22:45,2.58,0,30.33,2.61,309943,0,1795.51
1/1/2020 23:00,2.58,0,30.33,2.61,309943,0,1795.51
1/1/2020 23:15,2.58,0,30.33,2.61,309943,0,1795.51
1/1/2020 23:30,2.58,0,30.33,2.61,309943,0,1795.51
1/1/2020 23:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 0:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 0:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 0:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 0:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 1:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 1:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 1:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 1:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 2:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 2:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 2:30,2.58,0,30.33,2.62,309943,0,1795.51
1/2/2020 2:45,2.58,0,30.33,2.62,309943,0,1795.51
1/2/2020 3:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 3:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 3:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 3:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 4:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 4:15,2.58,0,30.33,2.62,309943,0,1795.51
1/2/2020 4:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 4:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 5:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 5:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 5:30,2.58,0,30.33,2.62,309943,0,1795.51
1/2/2020 5:45,2.58,0,30.33,2.62,309943,0,1795.51
1/2/2020 6:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 6:15,2.58,0,30.33,2.62,309943,0,1795.51
1/2/2020 6:30,2.58,0,30.33,2.62,309943,0,1795.51
1/2/2020 6:45,2.58,0,30.33,2.62,309943,0,1795.51
1/2/2020 7:00,2.59,0,30.33,2.61,309943,0,1795.51
1/2/2020 7:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 7:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 7:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 8:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 8:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 8:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 8:45,2.58,0,30.33,2.62,309943,0,1795.51
1/2/2020 9:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 9:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 9:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 9:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 10:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 10:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 10:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 10:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 11:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 11:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 11:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 11:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 12:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 12:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 12:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 12:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 13:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 13:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 13:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 13:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 14:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 14:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 14:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 14:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 15:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 15:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 15:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 15:45,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 16:00,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 16:15,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 16:30,2.58,0,30.33,2.61,309943,0,1795.51
1/2/2020 16:45,2.58,0,30.33,2.6,309943,0,1795.51
1/2/2020 17:00,2.58,0,30.33,2.6,309943,0,1795.51
1/2/2020 17:15,2.58,0,30.33,2.6,309943,0,1795.51
1/2/2020 17:30,2.58,0,30.33,2.6,309943,0,1795.51
1/2/2020 17:45,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 18:00,2.58,0,30.33,2.6,309943,0,1795.51
1/2/2020 18:15,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 18:30,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 18:45,2.58,0,30.33,2.6,309943,0,1795.51
1/2/2020 19:00,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 19:15,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 19:30,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 19:45,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 20:00,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 20:15,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 20:30,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 20:45,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 21:00,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 21:15,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 21:30,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 21:45,2.58,0,30.33,2.6,309943,0,1795.51
1/2/2020 22:00,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 22:15,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 22:30,2.58,0,30.33,2.6,309943,0,1795.51
1/2/2020 22:45,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 23:00,2.57,0,30.33,2.6,309943,0,1795.51
1/2/2020 23:15,2.58,0,30.33,2.6,309943,0,1795.51
1/2/2020 23:30,2.58,0,30.33,2.6,309943,0,1795.51
1/2/2020 23:45,2.57,0,30.33,2.6,309943,0,1795.51
1/3/2020 0:00,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 0:15,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 0:30,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 0:45,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 1:00,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 1:15,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 1:30,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 1:45,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 2:00,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 2:15,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 2:30,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 2:45,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 3:00,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 3:15,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 3:30,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 3:45,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 4:00,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 4:15,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 4:30,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 4:45,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 5:00,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 5:15,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 5:30,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 5:45,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 6:00,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 6:15,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 6:30,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 6:45,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 7:00,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 7:15,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 7:30,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 7:45,2.57,0,30.33,2.6,309943,0,1795.51
1/3/2020 8:00,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 8:15,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 8:30,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 8:45,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 9:00,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 9:15,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 9:30,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 9:45,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 10:00,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 10:15,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 10:30,2.58,0,30.33,2.6,309943,0,1795.51
1/3/2020 10:45,2.57,0,30.33,2.6,309943,0,1795.51
1/3/2020 11:00,2.57,0,30.33,2.6,309943,0,1795.51
1/3/2020 11:15,2.57,0,30.33,2.6,309943,0,1795.51
1/3/2020 11:30,2.57,0,30.32,2.6,309943,0,1795.51
1/3/2020 11:45,2.57,0,30.32,2.6,309943,0,1795.51
1/3/2020 12:00,2.57,0,30.32,2.59,309943,0,1795.51
1/3/2020 12:15,2.57,0,30.32,2.59,309943,0,1795.51
1/3/2020 12:30,2.57,0,30.32,2.59,309943,0,1795.51
1/3/2020 12:45,2.57,0,30.32,2.59,309943,0,1795.51
1/3/2020 13:00,2.57,0,30.32,2.59,309943,0,1795.51
1/3/2020 13:15,2.57,0,30.32,,,,1795.51
1/3/2020 13:30,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 13:45,2.57,0,30.32,,,,1795.51
1/3/2020 14:00,,,30.32,2.59,0,0,1795.51
1/3/2020 14:15,,,30.32,2.59,0,0,1795.51
1/3/2020 14:30,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 14:45,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 15:00,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 15:15,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 15:30,2.57,-53.4,30.32,2.59,0,0,1795.51
1/3/2020 15:45,2.57,-58.3,30.32,2.59,0,0,1795.51
1/3/2020 16:00,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 16:15,2.57,-64.5,30.32,2.59,0,0,1795.51
1/3/2020 16:30,2.57,52,30.32,2.59,0,0,1795.51
1/3/2020 16:45,2.57,33.6,30.32,2.59,0,0,1795.51
1/3/2020 17:00,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 17:15,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 17:30,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 17:45,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 18:00,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 18:15,2.57,40.5,30.32,2.59,0,0,1795.51
1/3/2020 18:30,2.57,42.3,30.32,2.59,0,0,1795.51
1/3/2020 18:45,2.57,34.6,30.32,2.59,0,0,1795.51
1/3/2020 19:00,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 19:15,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 19:30,2.57,55.1,30.32,2.59,0,0,1795.51
1/3/2020 19:45,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 20:00,2.57,25,30.32,2.59,0,0,1795.51
1/3/2020 20:15,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 20:30,2.57,0,30.32,2.58,0,0,1795.51
1/3/2020 20:45,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 21:00,2.57,27.4,30.32,2.59,0,0,1795.51
1/3/2020 21:15,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 21:30,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 21:45,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 22:00,2.57,0,30.32,2.58,0,0,1795.51
1/3/2020 22:15,2.57,0,30.32,2.58,0,0,1795.51
1/3/2020 22:30,2.57,0,30.32,2.58,0,0,1795.51
1/3/2020 22:45,2.57,0,30.32,2.58,0,0,1795.51
1/3/2020 23:00,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 23:15,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 23:30,2.57,0,30.32,2.59,0,0,1795.51
1/3/2020 23:45,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 0:00,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 0:15,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 0:30,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 0:45,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 1:00,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 1:15,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 1:30,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 1:45,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 2:00,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 2:15,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 2:30,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 2:45,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 3:00,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 3:15,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 3:30,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 3:45,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 4:00,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 4:15,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 4:30,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 4:45,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 5:00,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 5:15,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 5:30,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 5:45,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 6:00,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 6:15,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 6:30,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 6:45,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 7:00,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 7:15,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 7:30,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 7:45,2.57,0,30.32,2.59,0,0,1795.51
1/4/2020 8:00,2.57,25.9,30.32,2.58,0,0,1795.51
1/4/2020 8:15,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 8:30,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 8:45,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 9:00,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 9:15,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 9:30,2.57,0,30.32,2.58,0,0,1795.51
1/4/2020 9:45,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 10:00,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 10:15,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 10:30,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 10:45,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 11:00,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 11:15,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 11:30,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 11:45,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 12:00,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 12:15,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 12:30,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 12:45,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 13:00,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 13:15,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 13:30,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 13:45,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 14:00,2.56,0,30.32,2.58,0,0,1795.51
1/4/2020 14:15,2.56,0,30.32,2.59,0,0,1795.51
1/4/2020 14:30,2.57,0,30.24,2.59,0,0,1795.47
1/4/2020 14:45,2.58,0,30.19,2.6,0,0,1795.41
1/4/2020 15:00,2.58,0,30.15,2.6,0,0,1795.36
1/4/2020 15:15,2.58,0,30.1,2.6,0,0,1795.33
1/4/2020 15:30,2.58,0,30.09,2.61,0,0,1795.31
1/4/2020 15:45,2.58,0,30.08,2.61,0,0,1795.31
1/4/2020 16:00,2.58,0,30.08,2.61,0,0,1795.31
1/4/2020 16:15,2.58,0,30.08,2.61,0,0,1795.31
1/4/2020 16:30,2.58,0,30.08,2.61,0,0,1795.3
1/4/2020 16:45,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 17:00,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 17:15,2.59,0,30.08,2.61,0,0,1795.3
1/4/2020 17:30,2.59,0,30.08,2.61,0,0,1795.3
